"year","prov","sector","scenario","emissions"
2021,"QC","Electricity","2022 Reference Case",0.4
2021,"QC","Electricity","NIR 2022",0
2021,"SK","Electricity","2022 Additional Measures Scenario",13.4
2021,"SK","Electricity","2022 Reference Case",13.4
2021,"SK","Electricity","NIR 2022",0
2022,"AB","Electricity","2022 Additional Measures Scenario",27.3
2022,"AB","Electricity","2022 Reference Case",27.3
2022,"AB","Electricity","NIR 2022",0
2022,"BC","Electricity","2022 Additional Measures Scenario",0.3
2022,"BC","Electricity","2022 Reference Case",0.3
2022,"BC","Electricity","NIR 2022",0
2022,"Canada","Electricity","2022 Additional Measures Scenario",61.1
2022,"Canada","Electricity","2022 Reference Case",60.8
2022,"Canada","Electricity","NIR 2022",0
2022,"MB","Electricity","2022 Additional Measures Scenario",0
2022,"MB","Electricity","2022 Reference Case",0
2022,"MB","Electricity","NIR 2022",0
2022,"ATL","Electricity","2022 Additional Measures Scenario",10.2
2022,"ATL","Electricity","2022 Reference Case",10.2
2022,"ATL","Electricity","NIR 2022",0
2022,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2022,"Northwest Territories","Electricity","2022 Reference Case",0
2022,"Northwest Territories","Electricity","NIR 2022",0
2022,"ON","Electricity","2022 Additional Measures Scenario",12
2022,"ON","Electricity","2022 Reference Case",11.7
2022,"ON","Electricity","NIR 2022",0
2022,"QC","Electricity","2022 Additional Measures Scenario",0.6
2022,"QC","Electricity","2022 Reference Case",0.6
2022,"QC","Electricity","NIR 2022",0
2022,"SK","Electricity","2022 Additional Measures Scenario",10.4
2022,"SK","Electricity","2022 Reference Case",10.4
2022,"SK","Electricity","NIR 2022",0
2023,"AB","Electricity","2022 Additional Measures Scenario",22.2
2023,"AB","Electricity","2022 Reference Case",23.7
2023,"AB","Electricity","NIR 2022",0
2023,"BC","Electricity","2022 Additional Measures Scenario",0.2
2023,"BC","Electricity","2022 Reference Case",0.2
2023,"BC","Electricity","NIR 2022",0
2023,"Canada","Electricity","2022 Additional Measures Scenario",52.9
2023,"Canada","Electricity","2022 Reference Case",54.6
2023,"Canada","Electricity","NIR 2022",0
2023,"MB","Electricity","2022 Additional Measures Scenario",0
2023,"MB","Electricity","2022 Reference Case",0
2023,"MB","Electricity","NIR 2022",0
2023,"ATL","Electricity","2022 Additional Measures Scenario",8.8
2023,"ATL","Electricity","2022 Reference Case",8.8
2023,"ATL","Electricity","NIR 2022",0
2023,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2023,"Northwest Territories","Electricity","2022 Reference Case",0
2023,"Northwest Territories","Electricity","NIR 2022",0
2023,"ON","Electricity","2022 Additional Measures Scenario",12.8
2023,"ON","Electricity","2022 Reference Case",12.7
2023,"ON","Electricity","NIR 2022",0
2023,"QC","Electricity","2022 Additional Measures Scenario",0.4
2023,"QC","Electricity","2022 Reference Case",0.4
2023,"QC","Electricity","NIR 2022",0
2023,"SK","Electricity","2022 Additional Measures Scenario",8.3
2023,"SK","Electricity","2022 Reference Case",8.5
2023,"SK","Electricity","NIR 2022",0
2024,"AB","Electricity","2022 Additional Measures Scenario",14.8
2024,"AB","Electricity","2022 Reference Case",17
2024,"AB","Electricity","NIR 2022",0
2024,"BC","Electricity","2022 Additional Measures Scenario",0.2
2024,"BC","Electricity","2022 Reference Case",0.2
2024,"BC","Electricity","NIR 2022",0
2024,"Canada","Electricity","2022 Additional Measures Scenario",43.6
2024,"Canada","Electricity","2022 Reference Case",45.1
2024,"Canada","Electricity","NIR 2022",0
2024,"MB","Electricity","2022 Additional Measures Scenario",0
2024,"MB","Electricity","2022 Reference Case",0
2024,"MB","Electricity","NIR 2022",0
2024,"ATL","Electricity","2022 Additional Measures Scenario",8.8
2024,"ATL","Electricity","2022 Reference Case",8.8
2024,"ATL","Electricity","NIR 2022",0
2024,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2024,"Northwest Territories","Electricity","2022 Reference Case",0
2024,"Northwest Territories","Electricity","NIR 2022",0
2024,"ON","Electricity","2022 Additional Measures Scenario",12
2024,"ON","Electricity","2022 Reference Case",11.9
2024,"ON","Electricity","NIR 2022",0
2024,"QC","Electricity","2022 Additional Measures Scenario",0.4
2024,"QC","Electricity","2022 Reference Case",0.5
2024,"QC","Electricity","NIR 2022",0
2024,"SK","Electricity","2022 Additional Measures Scenario",7
2024,"SK","Electricity","2022 Reference Case",6.5
2024,"SK","Electricity","NIR 2022",0
2025,"AB","Electricity","2022 Additional Measures Scenario",11.4
2025,"AB","Electricity","2022 Reference Case",13.9
2025,"AB","Electricity","NIR 2022",0
2025,"BC","Electricity","2022 Additional Measures Scenario",0.1
2025,"BC","Electricity","2022 Reference Case",0.2
